%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1615790392412538026,2,1615790378667099805,map,0.0269072820421,8.28551498636,0.0,0.0,0.0,0.817747904786,0.575576549399,0.242789130545,0.00314380268691,0.0,0.0,0.0,0.0,0.00314380268691,0.242599893945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650658094068
1615790397272850255,3,1615790397179228805,map,0.265835437519,6.23954799795,0.0,0.0,0.0,0.000798464652931,0.999999681227,0.256332662335,0.000216167907044,0.0,0.0,0.0,0.0,0.000216167907044,0.253972347969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679479644385
1615790401074999841,4,1615790400971412805,map,0.346688418505,3.56747552389,0.0,0.0,0.0,0.751623998586,0.65959181677,0.244552628081,0.000686443152627,0.0,0.0,0.0,0.0,0.000686443152627,0.253132402928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0698314356153
1615790405075953356,5,1615790404963315805,map,0.642163697451,4.25060698407,0.0,0.0,0.0,0.991925592724,0.12682120682,0.25741075465,0.00148682729623,0.0,0.0,0.0,0.0,0.00148682729623,0.253316467246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666954730033
1615790423486603443,6,1615790423375695805,map,4.82364976842,10.8184308882,0.0,0.0,0.0,0.262072338624,0.965048231607,0.254697390386,-0.000516052682471,0.0,0.0,0.0,0.0,-0.000516052682471,0.255372465125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678786219724
1615790447693728958,7,1615790447576619805,map,5.60523527784,10.6401688858,0.0,0.0,0.0,0.537348536469,0.843360273166,0.255623622911,0.00281964815054,0.0,0.0,0.0,0.0,0.00281964815056,0.250428568373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705219893655
1615790463998990380,8,1615790463893825805,map,0.728204250968,10.8483584614,0.0,0.0,0.0,-0.777223037255,0.629225198447,0.249049428566,-0.0143393972414,0.0,0.0,0.0,0.0,-0.0143393972414,0.244481460845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704834468052
1615790474404347376,9,1615790474322579805,map,0.976349411699,9.77019315343,0.0,0.0,0.0,-0.841585014995,0.540124673141,0.241484297403,-0.00401465728354,0.0,0.0,0.0,0.0,-0.00401465728354,0.252728671233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673595335265
1615790479108383137,10,1615790479012964805,map,-1.88601633831,6.0111764953,0.0,0.0,0.0,0.224296110973,0.974521038563,0.249370952747,-0.000336840187925,0.0,0.0,0.0,0.0,-0.000336840187924,0.256894409505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0697745126646
1615790484308675053,11,1615790484202408805,map,0.740750293783,6.60101800385,0.0,0.0,0.0,0.941373897503,0.337365062061,0.247552998031,-0.00236861196002,0.0,0.0,0.0,0.0,-0.00236861196002,0.244894001971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692560996874
