%time,field.data
1615790395069250067,13
1615790400071932272,23
1615790407076538912,33
1615790420078478864,14
1615790425080045746,24
1615790449694426175,34
1615790461695412256,12
1615790466696810741,22
1615790486309340911,32
1615790497309663815,16
1615790502312125431,26
1615790622312264346,46
