Marker,Master Time
15,3.002323865890503
25,8.00244402885437
45,18.00263285636902
15,26.005012035369873
25,31.005107879638672
45,41.005281925201416
15,49.00788903236389
25,54.007999897003174
45,64.0082049369812
15,72.01077890396118
25,77.01094889640808
45,87.01108598709106
15,95.0136170387268
25,100.01381087303162
45,110.01399397850037
15,118.01641488075256
25,123.0165798664093
45,133.01676297187805
15,141.01905298233032
25,146.01917505264282
45,156.01937699317932
15,164.02181792259216
25,169.02200198173523
45,179.0221300125122
15,187.0247130393982
25,192.02482795715332
45,202.02498698234558
