%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1637057880769565772,0,1637057864636678055,map,0.012765523603,-0.00185758867047,0.0,0.0,0.0,8.56034512309e-05,0.999999996336,0.247065304157,0.0019165315976,0.0,0.0,0.0,0.0,0.0019165315976,0.246002731312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684890580915
1637057928172279926,1,1637057928101122055,map,0.146043198867,0.0590344110469,0.0,0.0,0.0,0.000973071338364,0.999999526566,0.121302694498,0.00643108529073,0.0,0.0,0.0,0.0,0.00643108529073,0.250084766529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641710351048
1637057928868646299,2,1637057928751924055,map,0.129602790213,0.108488339122,0.0,0.0,0.0,-0.0085725296584,0.999963255193,0.0683330995187,0.0155431943399,0.0,0.0,0.0,0.0,0.0155431943399,0.248531015023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0562934415948
1637057929378649877,3,1637057929302512055,map,0.105393195425,0.181576172072,0.0,0.0,0.0,-0.0271566953546,0.999631188938,0.0480332253918,0.0228997674665,0.0,0.0,0.0,0.0,0.0228997674665,0.257983626424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0486567395374
1637057929865359235,4,1637057929803096055,map,0.0847724345144,0.233194290356,0.0,0.0,0.0,-0.0393169489194,0.999226789837,0.0402244571373,0.0285671129828,0.0,0.0,0.0,0.0,0.0285671129828,0.253187585908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0409752416558
1637057930268860647,5,1637057930203483055,map,0.0744210309537,0.308296196645,0.0,0.0,0.0,-0.0416830590279,0.999130883613,0.0340116557921,0.0329161993973,0.0,0.0,0.0,0.0,0.0329161993973,0.25078754025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345516991021
1637057930678357123,6,1637057930603971055,map,0.040527372202,0.411205021956,0.0,0.0,0.0,-0.0570723856913,0.998370043016,0.0304368299933,0.0357552593465,0.0,0.0,0.0,0.0,0.0357552593465,0.230436242526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0302456760723
1637057931066501526,7,1637057931004439055,map,0.0224230209688,0.43159685186,0.0,0.0,0.0,-0.0665545481034,0.997782788049,0.0287279513303,0.0414693287548,0.0,0.0,0.0,0.0,0.0414693287548,0.210163221839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0254000228791
1637057931467377650,8,1637057931404834055,map,-0.0433195853419,0.412994689231,0.0,0.0,0.0,-0.075540839812,0.997142708703,0.026204965266,0.0391294580402,0.0,0.0,0.0,0.0,0.0391294580402,0.169875218453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199766904634
