%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1715135125413788549,413,1715135052211489305,map,0.0155553588809,2.10576680294,0.0,0.0,0.0,0.772567049019,0.634933189218,4.17964054301e-05,-1.21339033557e-05,0.0,0.0,0.0,0.0,-1.21339033557e-05,1.5481772448e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010278224627
1715135880575273244,414,1715135880475577305,map,0.0117944034476,2.1248742115,0.0,0.0,0.0,0.81267615576,0.582715596033,3.78460032231e-05,-1.2486317391e-05,0.0,0.0,0.0,0.0,-1.2486317391e-05,2.1281071227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8985086487e-05
1715135880690208150,415,1715135880575402305,map,-0.0680604170337,2.13590397045,0.0,0.0,0.0,0.777508717619,0.628872160321,0.25741075465,0.00148682729646,0.0,0.0,0.0,0.0,0.00148682729646,0.253316467247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666954767127
1715135880908461091,416,1715135880825033305,map,-0.018856698726,2.10946857631,0.0,0.0,0.0,0.812848068021,0.582475766289,0.101047385325,-0.0268268716046,0.0,0.0,0.0,0.0,-0.0268268716046,0.270358275352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054742106942
1715135881410253560,417,1715135881324279305,map,-0.0119791845982,2.09211198607,0.0,0.0,0.0,0.870918718267,0.491427091411,0.0581301067252,-0.0454412020363,0.0,0.0,0.0,0.0,-0.0454412020363,0.285163298174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407578242852
1715135881910139553,418,1715135881823421305,map,-0.0222233697271,2.10290746311,0.0,0.0,0.0,0.918537894551,0.395332943573,0.0448101889943,-0.0540404514217,0.0,0.0,0.0,0.0,-0.0540404514217,0.298998769101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326713368003
1715135882407806268,419,1715135882322618305,map,-0.0421894506563,2.11466994099,0.0,0.0,0.0,0.955807958224,0.293991746475,0.0449342201977,-0.0632501871768,0.0,0.0,0.0,0.0,-0.0632501871768,0.307721243718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273727852052
1715135882902930087,420,1715135882821817305,map,-0.0693759213358,2.14131294763,0.0,0.0,0.0,0.981672921793,0.190573541236,0.04902068692,-0.0755956382522,0.0,0.0,0.0,0.0,-0.0755956382522,0.309661628728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233428656256
1715135883404675372,421,1715135883321046305,map,-0.105131828058,2.16064833831,0.0,0.0,0.0,0.996092992174,0.0883105369797,0.0571844908811,-0.0870863479691,0.0,0.0,0.0,0.0,-0.0870863479691,0.307660196714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0218481939951
1715135887318451278,422,1715135887264721305,map,-0.159102103339,2.18338298702,0.0,0.0,0.0,0.997540564671,0.0700915247146,0.06316351627,-0.0962258795372,0.0,0.0,0.0,0.0,-0.0962258795372,0.304818700761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0211916430596
