Marker,Master Time
11,3.003476858139038
21,8.00357985496521
41,128.0036699771881
11,134.00594282150269
21,139.00608491897583
41,259.00624680519104
11,266.00847601890564
21,271.0085778236389
41,391.00875091552734
11,398.01100492477417
21,403.0111458301544
41,523.0112228393555
11,530.0134029388428
21,535.0134928226471
41,655.0135889053345
11,662.0158228874207
21,667.0159878730774
41,787.0160808563232
11,793.0182988643646
21,798.0184400081635
41,918.0185499191284
11,924.0207579135895
21,929.0208549499512
41,1049.0209050178528
