Marker,Master Time
13,2.0022881031036377
23,7.0023581981658936
43,17.002490043640137
13,23.00465202331543
23,28.004767179489136
43,38.00492715835571
13,45.007060050964355
23,50.007179975509644
43,60.00726509094238
13,66.00919508934021
23,71.00927209854126
43,81.0093719959259
13,89.01158809661865
23,94.01171207427979
43,104.01186013221741
13,112.01404809951782
23,117.01414012908936
43,127.01422619819641
13,133.01622700691223
23,138.0163130760193
43,148.01651310920715
13,154.018874168396
23,159.01904010772705
43,169.01919102668762
13,176.03126001358032
23,181.03140211105347
43,191.03150916099548
13,197.03366899490356
23,202.03377103805542
43,212.03390908241272
13,220.0361762046814
23,225.03631210327148
43,235.03651118278503
13,241.0384681224823
23,246.03856015205383
43,256.03869104385376
13,264.04057717323303
23,269.0406551361084
43,279.04079508781433
13,285.0428001880646
23,290.0428969860077
43,300.04307317733765
13,308.044860124588
23,313.0449450016022
43,323.0451421737671
13,330.0473291873932
23,335.04747915267944
43,345.04755115509033
13,352.04956316947937
23,357.0496520996094
43,367.0498721599579
13,375.0517110824585
23,380.05178904533386
43,390.05187797546387
13,398.0538101196289
23,403.0539321899414
43,413.05405616760254
13,421.0561079978943
23,426.0562210083008
43,436.05634808540344
13,443.0585501194
23,448.0587270259857
43,458.0589292049408
13,464.0608580112457
23,469.0609710216522
43,479.0610911846161
13,485.0632531642914
23,490.0634341239929
43,500.0635371208191
13,506.0655632019043
23,511.06565117836
43,521.0657761096954
13,528.067636013031
23,533.0677380561829
43,543.0678691864014
13,550.0699181556702
23,555.0699989795685
43,565.0701019763947
13,573.0721790790558
23,578.0723102092743
43,588.0724520683289
13,596.0744330883026
23,601.074541091919
43,611.0746719837189
13,617.0766360759735
23,622.0767061710358
43,632.0767781734467
13,639.0787081718445
23,644.0788111686707
43,654.0789601802826
13,662.0808169841766
23,667.0808980464935
43,677.0809700489044
13,685.0834650993347
23,690.0835461616516
43,700.0836260318756
13,708.0858371257782
23,713.0859241485596
43,723.086061000824
13,729.088171005249
23,734.0883240699768
43,744.0884280204773
13,752.0904881954193
23,757.090677022934
43,767.0908131599426
13,774.0928890705109
23,779.0930070877075
43,789.0931541919708
13,797.0951540470123
23,802.0952501296997
43,812.0954051017761
13,818.0973451137543
23,823.0974311828613
43,833.0975060462952
13,841.0994911193848
23,846.0996952056885
43,856.099799156189
13,864.1019279956818
23,869.1020810604095
43,879.1021671295166
13,887.1044721603394
23,892.1045432090759
43,902.1047019958496
13,910.1064372062683
23,915.1065921783447
43,925.1067271232605
13,932.108686208725
23,937.1087779998779
43,947.1089069843292
13,953.1108191013336
23,958.1109030246735
43,968.1109771728516
13,976.1129810810089
23,981.1131100654602
43,991.1132800579071
13,999.1153690814972
23,1004.1154470443726
43,1014.1156380176544
13,1021.117534160614
23,1026.1176099777222
43,1036.1176900863647
13,1043.1195821762085
23,1048.1196701526642
43,1058.119754076004
13,1066.1216189861298
23,1071.121761083603
43,1081.121903181076
13,1087.123906135559
23,1092.1239941120148
43,1102.1241371631622
13,1108.1263010501862
23,1113.1264510154724
43,1123.1265411376953
13,1129.1285440921783
23,1134.1286191940308
43,1144.1288051605225
13,1151.1307489871979
23,1156.1309170722961
43,1166.1310501098633
13,1173.132980108261
23,1178.133052110672
43,1188.1331551074982
13,1194.1351690292358
23,1199.135255098343
43,1209.1353600025177
13,1217.1373960971832
23,1222.1374762058258
43,1232.1376831531525
13,1239.139878988266
23,1244.1399731636047
43,1254.140055179596
13,1261.1434969902039
23,1266.1436190605164
43,1276.143758058548
13,1283.1456820964813
23,1288.1457719802856
43,1298.1458461284637
13,1304.14777302742
23,1309.1478481292725
43,1319.1479392051697
13,1327.1500101089478
23,1332.1500990390778
43,1342.150181055069
13,1349.1522572040558
23,1354.1523480415344
43,1364.1525321006775
13,1372.1547870635986
23,1377.15492105484
43,1387.1550090312958
13,1395.1570060253143
23,1400.1570889949799
43,1410.1571810245514
13,1418.1591839790344
23,1423.1592700481415
43,1433.1594331264496
13,1440.161681175232
23,1445.1617980003357
43,1455.1618959903717
13,1462.1639020442963
23,1467.1639800071716
43,1477.1640741825104
13,1485.1661190986633
23,1490.166272163391
43,1500.1663961410522
13,1507.1685950756073
23,1512.1686730384827
43,1522.1687560081482
13,1529.1707000732422
23,1534.170888185501
43,1544.1709880828857
13,1552.17293715477
23,1557.1731281280518
43,1567.173316001892
13,1574.1752760410309
23,1579.175430059433
43,1589.1755170822144
13,1597.177409172058
23,1602.177523136139
43,1612.1776540279388
13,1620.1796100139618
23,1625.179748058319
43,1635.1798679828644
13,1642.2025589942932
23,1647.2027871608734
43,1657.2029252052307
13,1664.2049181461334
23,1669.2050709724426
43,1679.2052500247955
13,1685.2073051929474
23,1690.207592010498
43,1700.207682132721
13,1706.2095830440521
23,1711.2096769809723
43,1721.2098321914673
13,1728.2123320102692
23,1733.2124681472778
43,1743.21258020401
13,1751.2144420146942
23,1756.2145121097565
43,1766.2146081924438
13,1774.21653008461
23,1779.2166111469269
43,1789.216693162918
13,1795.2187480926514
23,1800.2188839912415
43,1810.2189810276031
13,1818.2208120822906
23,1823.2209429740906
43,1833.2210230827332
13,1840.2231969833374
23,1845.2233011722565
43,1855.2234001159668
13,1861.2254540920258
23,1866.2255511283875
43,1876.225646018982
13,1882.2276711463928
23,1887.2277472019196
43,1897.227884054184
13,1904.230604171753
23,1909.2307200431824
43,1919.2308781147003
13,1927.232959985733
23,1932.2331411838531
43,1942.2332282066345
13,1950.23544216156
23,1955.235642194748
43,1965.2357552051544
13,1971.2381711006165
23,1976.2382810115814
43,1986.238450050354
