dot_pos_x,dot_pos_y,dot_time
-672.0,420.0,5.6815550327301025
0.0,420.0,7.6811618804931641
672.0,420.0,9.6810169219970703
-672.0,0.0,11.681211948394775
0.0,0.0,13.681376934051514
672.0,0.0,15.681475877761841
-672.0,-420.0,17.681458950042725
0.0,-420.0,19.681497812271118
672.0,-420.0,21.681306838989258
-420.0,262.0,23.681595802307129
0.0,262.0,25.681583881378174
420.0,262.0,27.68178391456604
-420.0,0.0,29.68171501159668
420.0,0.0,31.681726932525635
-420.0,-262.0,33.681813955307007
0.0,-262.0,35.681718826293945
420.0,-262.0,37.681771993637085
