Marker,Master Time
15,1.0036780834197998
25,6.003875017166138
45,126.0041229724884
12,400.00999999046326
22,405.0100531578064
42,525.010097026825
12,135.00741696357727
22,140.00765705108643
42,260.0079560279846
14,1.0040359497070312
24,6.004302978515625
44,126.00450897216797
15,133.00672006607056
25,138.00690603256226
45,258.0071351528168
12,533.0132761001587
22,538.0133631229401
42,658.013414144516
12,267.0107719898224
22,272.01096296310425
42,392.01114797592163
14,132.00719380378723
24,137.00744080543518
44,257.0076789855957
15,264.00943303108215
25,269.00969314575195
45,389.00987696647644
