[rospy.client][INFO] 2025-03-27 14:06:59,811: init_node, name[/sonar_processor_4661_1743059219799], pid[4661]
[xmlrpc][INFO] 2025-03-27 14:06:59,811: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 14:06:59,812: Started XML-RPC server [http://localhost:39831/]
[rospy.init][INFO] 2025-03-27 14:06:59,812: ROS Slave URI: [http://localhost:39831/]
[rospy.impl.masterslave][INFO] 2025-03-27 14:06:59,812: _ready: http://localhost:39831/
[rospy.registration][INFO] 2025-03-27 14:06:59,812: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 14:06:59,812: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 14:06:59,912: registered with master
[rospy.rosout][INFO] 2025-03-27 14:06:59,913: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 14:06:59,918: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 14:06:59,921: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 14:06:59,935: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 14:06:59,980: topic[/RosAria/sonar] adding connection to [http://localhost:37299/], count 0
[rosout][INFO] 2025-03-27 14:07:00,032: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:00,136: Back Left Min: 1.17, Back Right Min: 1.35
[rospy.internal][INFO] 2025-03-27 14:07:00,164: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 14:07:00,239: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:00,336: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:00,439: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:00,536: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:00,639: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:00,736: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:00,839: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:00,936: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,039: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,136: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,239: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,337: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,439: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,537: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,639: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,737: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,840: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:01,937: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,040: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,137: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,240: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,337: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,440: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,537: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,640: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,737: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,840: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:02,937: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,040: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,137: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,240: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,337: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,440: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,537: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,640: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,737: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,840: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:03,937: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,040: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,137: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,241: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,337: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,441: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,537: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,641: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,738: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,841: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:04,938: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:05,041: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:05,138: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:05,241: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:05,338: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:05,441: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:05,538: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:05,641: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:07:05,738: Back Left Min: 1.17, Back Right Min: 1.35
