[rospy.client][INFO] 2025-04-11 13:51:38,071: init_node, name[/sonar_processor_8481_1744354298057], pid[8481]
[xmlrpc][INFO] 2025-04-11 13:51:38,071: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-11 13:51:38,072: Started XML-RPC server [http://localhost:41197/]
[rospy.init][INFO] 2025-04-11 13:51:38,072: ROS Slave URI: [http://localhost:41197/]
[rospy.impl.masterslave][INFO] 2025-04-11 13:51:38,072: _ready: http://localhost:41197/
[rospy.registration][INFO] 2025-04-11 13:51:38,072: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-11 13:51:38,072: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-11 13:51:38,172: registered with master
[rospy.rosout][INFO] 2025-04-11 13:51:38,172: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-11 13:51:38,174: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-11 13:51:38,174: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-11 13:51:38,177: Sonar processor initialized
[rospy.internal][INFO] 2025-04-11 13:51:38,187: topic[/RosAria/sonar] adding connection to [http://localhost:45625/], count 0
[rosout][INFO] 2025-04-11 13:51:38,219: Back Left Min: 0.92, Back Right Min: 0.69
[rospy.internal][INFO] 2025-04-11 13:51:38,308: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-11 13:51:38,322: Back Left Min: 0.92, Back Right Min: 0.69
[rospy.internal][INFO] 2025-04-11 13:51:38,348: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-04-11 13:51:38,425: Back Left Min: 0.92, Back Right Min: 0.68
[rosout][INFO] 2025-04-11 13:51:38,522: Back Left Min: 0.92, Back Right Min: 0.68
[rosout][INFO] 2025-04-11 13:51:38,625: Back Left Min: 0.92, Back Right Min: 0.68
[rosout][INFO] 2025-04-11 13:51:38,722: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:38,825: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:38,922: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,025: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,122: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,225: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,322: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,425: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,522: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,625: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,722: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,825: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:39,922: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,025: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,122: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,225: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,323: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,426: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,523: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,626: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,723: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,826: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:40,922: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:51:41,026: Back Left Min: 0.92, Back Right Min: 0.69
