[rospy.client][INFO] 2025-04-11 13:58:14,401: init_node, name[/sonar_processor_17119_1744354694383], pid[17119]
[xmlrpc][INFO] 2025-04-11 13:58:14,402: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-11 13:58:14,402: Started XML-RPC server [http://localhost:39169/]
[rospy.init][INFO] 2025-04-11 13:58:14,402: ROS Slave URI: [http://localhost:39169/]
[rospy.impl.masterslave][INFO] 2025-04-11 13:58:14,402: _ready: http://localhost:39169/
[rospy.registration][INFO] 2025-04-11 13:58:14,403: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-11 13:58:14,403: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-11 13:58:14,502: registered with master
[rospy.rosout][INFO] 2025-04-11 13:58:14,502: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-11 13:58:14,504: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-11 13:58:14,505: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-11 13:58:14,508: Sonar processor initialized
[rospy.internal][INFO] 2025-04-11 13:58:14,517: topic[/RosAria/sonar] adding connection to [http://localhost:35503/], count 0
[rosout][INFO] 2025-04-11 13:58:14,602: Back Left Min: 0.72, Back Right Min: 0.70
[rospy.internal][INFO] 2025-04-11 13:58:14,653: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-04-11 13:58:14,708: Back Left Min: 0.71, Back Right Min: 0.70
[rospy.internal][INFO] 2025-04-11 13:58:14,726: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-11 13:58:14,804: Back Left Min: 0.71, Back Right Min: 0.70
[rosout][INFO] 2025-04-11 13:58:14,908: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,004: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,108: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,205: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,308: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,405: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,508: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,605: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,708: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,805: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:15,908: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,005: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,108: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,205: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,308: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,405: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,508: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,605: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,708: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,806: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:16,909: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,005: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,109: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,206: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,309: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,406: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,509: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,606: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,709: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,806: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:17,909: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,006: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,109: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,206: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,309: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,406: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,509: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,606: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,709: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,806: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:18,909: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:19,006: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:19,109: Back Left Min: 0.71, Back Right Min: 0.71
[rosout][INFO] 2025-04-11 13:58:19,206: Back Left Min: 0.71, Back Right Min: 0.71
