[rospy.client][INFO] 2025-03-27 15:25:18,689: init_node, name[/sonar_processor_5940_1743063918673], pid[5940]
[xmlrpc][INFO] 2025-03-27 15:25:18,689: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 15:25:18,689: Started XML-RPC server [http://localhost:42799/]
[rospy.init][INFO] 2025-03-27 15:25:18,689: ROS Slave URI: [http://localhost:42799/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:25:18,689: _ready: http://localhost:42799/
[rospy.registration][INFO] 2025-03-27 15:25:18,690: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:25:18,690: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:25:18,790: registered with master
[rospy.rosout][INFO] 2025-03-27 15:25:18,790: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:25:18,791: connected to core topic /rosout
[rosout][INFO] 2025-03-27 15:25:23,841: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:23,938: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,041: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,138: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,241: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,338: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,441: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,538: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,641: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,738: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,842: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:24,938: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:25,042: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:25,139: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:25,242: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:25,339: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:25,442: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:25,539: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:25,642: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:25,739: Back Left Min: 1.24, Back Right Min: 0.96
[rosout][INFO] 2025-03-27 15:25:25,842: Back Left Min: 1.24, Back Right Min: 0.95
[rosout][INFO] 2025-03-27 15:25:25,939: Back Left Min: 1.24, Back Right Min: 0.95
[rosout][INFO] 2025-03-27 15:25:26,042: Back Left Min: 1.24, Back Right Min: 0.95
[rosout][INFO] 2025-03-27 15:25:26,139: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:26,242: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:26,339: Back Left Min: 1.24, Back Right Min: 0.94
[rosout][INFO] 2025-03-27 15:25:26,443: Back Left Min: 0.79, Back Right Min: 0.97
[rosout][INFO] 2025-03-27 15:25:26,539: Back Left Min: 0.79, Back Right Min: 0.97
[rosout][INFO] 2025-03-27 15:25:26,643: Back Left Min: 0.79, Back Right Min: 0.97
[rosout][INFO] 2025-03-27 15:25:26,739: Back Left Min: 1.00, Back Right Min: 0.99
[rosout][INFO] 2025-03-27 15:25:26,843: Back Left Min: 0.75, Back Right Min: 0.99
[rosout][INFO] 2025-03-27 15:25:26,939: Back Left Min: 0.75, Back Right Min: 0.99
[rosout][INFO] 2025-03-27 15:25:27,043: Back Left Min: 0.80, Back Right Min: 0.95
[rosout][INFO] 2025-03-27 15:25:27,139: Back Left Min: 0.80, Back Right Min: 0.95
[rosout][INFO] 2025-03-27 15:25:27,243: Back Left Min: 0.80, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:27,339: Back Left Min: 0.89, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:27,443: Back Left Min: 0.89, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:27,540: Back Left Min: 0.89, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:27,643: Back Left Min: 0.99, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:27,740: Back Left Min: 0.99, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:27,843: Back Left Min: 0.99, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:27,940: Back Left Min: 1.00, Back Right Min: 1.08
[rosout][INFO] 2025-03-27 15:25:28,043: Back Left Min: 1.00, Back Right Min: 1.08
