[rospy.client][INFO] 2025-03-27 15:07:54,959: init_node, name[/sonar_processor_13377_1743062874946], pid[13377]
[xmlrpc][INFO] 2025-03-27 15:07:54,960: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 15:07:54,960: Started XML-RPC server [http://localhost:36133/]
[rospy.init][INFO] 2025-03-27 15:07:54,960: ROS Slave URI: [http://localhost:36133/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:07:54,960: _ready: http://localhost:36133/
[rospy.registration][INFO] 2025-03-27 15:07:54,960: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:07:54,960: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:07:55,060: registered with master
[rospy.rosout][INFO] 2025-03-27 15:07:55,061: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:07:55,067: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 15:07:55,070: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 15:07:55,084: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 15:07:55,128: topic[/RosAria/sonar] adding connection to [http://localhost:40669/], count 0
[rosout][INFO] 2025-03-27 15:07:55,208: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-03-27 15:07:55,306: Back Left Min: 0.00, Back Right Min: 0.00
[rospy.internal][INFO] 2025-03-27 15:07:55,350: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 15:07:55,410: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:55,506: Back Left Min: 0.72, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:55,609: Back Left Min: 0.72, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:55,707: Back Left Min: 0.72, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:55,809: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:55,906: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,009: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,106: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,209: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,306: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,409: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,506: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,609: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,706: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,809: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:56,906: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,009: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,106: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,209: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,306: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,409: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,506: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,610: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,706: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,810: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:57,907: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:58,010: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:58,107: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:58,210: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:58,307: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:58,410: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:58,507: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 15:07:58,610: Back Left Min: 1.17, Back Right Min: 1.35
