[rospy.client][INFO] 2025-03-27 15:12:21,199: init_node, name[/sonar_processor_19643_1743063141181], pid[19643]
[xmlrpc][INFO] 2025-03-27 15:12:21,199: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 15:12:21,199: Started XML-RPC server [http://localhost:41615/]
[rospy.init][INFO] 2025-03-27 15:12:21,199: ROS Slave URI: [http://localhost:41615/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:12:21,199: _ready: http://localhost:41615/
[rospy.registration][INFO] 2025-03-27 15:12:21,200: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:12:21,200: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:12:21,300: registered with master
[rospy.rosout][INFO] 2025-03-27 15:12:21,300: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:12:21,301: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 15:12:21,302: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 15:12:21,305: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 15:12:21,314: topic[/RosAria/sonar] adding connection to [http://localhost:40669/], count 0
[rosout][INFO] 2025-03-27 15:12:21,416: Back Left Min: 0.88, Back Right Min: 0.89
[rospy.internal][INFO] 2025-03-27 15:12:21,498: topic[/sonar_min] adding connection to [/rostopic_14070_1743062901856], count 0
[rosout][INFO] 2025-03-27 15:12:21,519: Back Left Min: 0.88, Back Right Min: 0.89
[rospy.internal][INFO] 2025-03-27 15:12:21,553: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 15:12:21,615: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:21,719: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:21,816: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:21,919: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,016: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,119: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,216: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,319: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,416: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,519: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,616: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,719: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,816: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:22,919: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:23,016: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:23,119: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:23,216: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:23,319: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:23,416: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:23,519: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:23,616: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:23,720: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:23,816: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:23,920: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:24,016: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:24,120: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:24,217: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:24,320: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:24,417: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:24,520: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:24,617: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:24,720: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:24,817: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:24,920: Back Left Min: 0.88, Back Right Min: 0.88
[rosout][INFO] 2025-03-27 15:12:25,017: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:25,120: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:25,217: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:25,320: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:25,417: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:25,520: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:25,617: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:25,720: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:25,817: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:25,921: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:26,017: Back Left Min: 0.88, Back Right Min: 0.89
[rosout][INFO] 2025-03-27 15:12:26,121: Back Left Min: 0.88, Back Right Min: 0.89
