[rospy.client][INFO] 2025-03-27 15:14:29,201: init_node, name[/sonar_processor_22578_1743063269185], pid[22578]
[xmlrpc][INFO] 2025-03-27 15:14:29,201: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 15:14:29,202: Started XML-RPC server [http://localhost:42629/]
[rospy.init][INFO] 2025-03-27 15:14:29,202: ROS Slave URI: [http://localhost:42629/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:14:29,202: _ready: http://localhost:42629/
[rospy.registration][INFO] 2025-03-27 15:14:29,203: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:14:29,203: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:14:29,302: registered with master
[rospy.rosout][INFO] 2025-03-27 15:14:29,302: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:14:29,304: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 15:14:29,305: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 15:14:29,308: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 15:14:29,317: topic[/RosAria/sonar] adding connection to [http://localhost:40669/], count 0
[rosout][INFO] 2025-03-27 15:14:29,366: Back Left Min: 0.89, Back Right Min: 0.91
[rospy.internal][INFO] 2025-03-27 15:14:29,446: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2025-03-27 15:14:29,447: topic[/sonar_min] adding connection to [/rostopic_14070_1743062901856], count 0
[rosout][INFO] 2025-03-27 15:14:29,468: Back Left Min: 0.87, Back Right Min: 0.91
[rosout][INFO] 2025-03-27 15:14:29,572: Back Left Min: 0.87, Back Right Min: 0.91
[rosout][INFO] 2025-03-27 15:14:29,668: Back Left Min: 0.72, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:29,772: Back Left Min: 0.72, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:29,868: Back Left Min: 0.72, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:29,972: Back Left Min: 0.87, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:30,069: Back Left Min: 0.87, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:30,172: Back Left Min: 0.87, Back Right Min: 0.85
[rosout][INFO] 2025-03-27 15:14:30,269: Back Left Min: 0.87, Back Right Min: 0.85
[rosout][INFO] 2025-03-27 15:14:30,372: Back Left Min: 0.87, Back Right Min: 0.85
[rosout][INFO] 2025-03-27 15:14:30,469: Back Left Min: 0.87, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:14:30,572: Back Left Min: 0.87, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:14:30,669: Back Left Min: 0.87, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:14:30,772: Back Left Min: 0.87, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:14:30,869: Back Left Min: 0.87, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:14:30,972: Back Left Min: 0.87, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:14:31,069: Back Left Min: 0.87, Back Right Min: 1.41
[rosout][INFO] 2025-03-27 15:14:31,172: Back Left Min: 0.87, Back Right Min: 1.41
[rosout][INFO] 2025-03-27 15:14:31,269: Back Left Min: 0.87, Back Right Min: 1.40
[rosout][INFO] 2025-03-27 15:14:31,372: Back Left Min: 0.87, Back Right Min: 0.92
[rosout][INFO] 2025-03-27 15:14:31,469: Back Left Min: 0.87, Back Right Min: 0.92
[rosout][INFO] 2025-03-27 15:14:31,572: Back Left Min: 0.87, Back Right Min: 0.83
[rosout][INFO] 2025-03-27 15:14:31,669: Back Left Min: 0.87, Back Right Min: 0.83
[rosout][INFO] 2025-03-27 15:14:31,772: Back Left Min: 0.87, Back Right Min: 0.83
[rosout][INFO] 2025-03-27 15:14:31,869: Back Left Min: 0.87, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:31,973: Back Left Min: 0.87, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:32,069: Back Left Min: 0.87, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:32,173: Back Left Min: 0.87, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:32,270: Back Left Min: 0.87, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:32,373: Back Left Min: 0.87, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 15:14:32,470: Back Left Min: 0.87, Back Right Min: 0.80
