[rospy.client][INFO] 2025-04-03 13:49:08,153: init_node, name[/sonar_processor_4779_1743662948141], pid[4779]
[xmlrpc][INFO] 2025-04-03 13:49:08,154: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-03 13:49:08,154: Started XML-RPC server [http://localhost:44929/]
[rospy.init][INFO] 2025-04-03 13:49:08,154: ROS Slave URI: [http://localhost:44929/]
[rospy.impl.masterslave][INFO] 2025-04-03 13:49:08,154: _ready: http://localhost:44929/
[rospy.registration][INFO] 2025-04-03 13:49:08,154: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-03 13:49:08,154: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-03 13:49:08,254: registered with master
[rospy.rosout][INFO] 2025-04-03 13:49:08,254: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-03 13:49:08,257: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-03 13:49:08,258: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-03 13:49:08,263: Sonar processor initialized
[rospy.internal][INFO] 2025-04-03 13:49:08,270: topic[/RosAria/sonar] adding connection to [http://localhost:34381/], count 0
[rosout][INFO] 2025-04-03 13:49:08,339: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:08,426: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:08,516: Back Left Min: 0.00, Back Right Min: 0.00
[rospy.internal][INFO] 2025-04-03 13:49:08,519: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-03 13:49:08,605: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:08,696: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:08,786: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:08,875: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:08,966: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,056: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,145: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,235: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,326: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,415: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,505: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,596: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,686: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,776: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,867: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:09,957: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,047: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,138: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,228: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,319: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,409: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,499: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,589: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,680: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,770: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,861: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:10,951: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,041: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,131: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,222: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,312: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,402: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,493: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,583: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,673: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,764: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,854: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:11,944: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,035: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,125: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,214: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,305: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,395: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,484: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,575: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,665: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,754: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,845: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:12,935: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,024: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,115: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,205: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,294: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,385: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,475: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,565: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,655: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,744: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,834: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:13,925: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:14,016: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 13:49:14,106: Back Left Min: 0.00, Back Right Min: 0.00
