[rospy.client][INFO] 2025-04-11 14:29:24,658: init_node, name[/sonar_processor_26229_1744356564644], pid[26229]
[xmlrpc][INFO] 2025-04-11 14:29:24,658: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-11 14:29:24,658: Started XML-RPC server [http://localhost:35107/]
[rospy.init][INFO] 2025-04-11 14:29:24,658: ROS Slave URI: [http://localhost:35107/]
[rospy.impl.masterslave][INFO] 2025-04-11 14:29:24,658: _ready: http://localhost:35107/
[rospy.registration][INFO] 2025-04-11 14:29:24,659: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-11 14:29:24,659: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-11 14:29:24,759: registered with master
[rospy.rosout][INFO] 2025-04-11 14:29:24,759: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-11 14:29:24,760: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-11 14:29:24,761: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-11 14:29:24,764: Sonar processor initialized
[rospy.internal][INFO] 2025-04-11 14:29:24,773: topic[/RosAria/sonar] adding connection to [http://localhost:32877/], count 0
[rosout][INFO] 2025-04-11 14:29:24,833: Back Left Min: 0.82, Back Right Min: 0.75
[rospy.internal][INFO] 2025-04-11 14:29:24,902: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2025-04-11 14:29:24,921: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-04-11 14:29:24,938: Back Left Min: 0.83, Back Right Min: 0.75
[rosout][INFO] 2025-04-11 14:29:25,035: Back Left Min: 0.83, Back Right Min: 0.72
[rosout][INFO] 2025-04-11 14:29:25,138: Back Left Min: 0.83, Back Right Min: 0.72
[rosout][INFO] 2025-04-11 14:29:25,235: Back Left Min: 0.83, Back Right Min: 0.72
[rosout][INFO] 2025-04-11 14:29:25,338: Back Left Min: 0.83, Back Right Min: 0.74
[rosout][INFO] 2025-04-11 14:29:25,435: Back Left Min: 0.83, Back Right Min: 0.74
[rosout][INFO] 2025-04-11 14:29:25,538: Back Left Min: 0.83, Back Right Min: 0.74
[rosout][INFO] 2025-04-11 14:29:25,635: Back Left Min: 0.83, Back Right Min: 0.74
[rosout][INFO] 2025-04-11 14:29:25,738: Back Left Min: 0.83, Back Right Min: 0.74
[rosout][INFO] 2025-04-11 14:29:25,835: Back Left Min: 0.83, Back Right Min: 0.74
