[rospy.client][INFO] 2025-04-11 14:30:55,994: init_node, name[/sonar_processor_28434_1744356655979], pid[28434]
[xmlrpc][INFO] 2025-04-11 14:30:55,995: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-11 14:30:55,995: Started XML-RPC server [http://localhost:46037/]
[rospy.init][INFO] 2025-04-11 14:30:55,995: ROS Slave URI: [http://localhost:46037/]
[rospy.impl.masterslave][INFO] 2025-04-11 14:30:55,995: _ready: http://localhost:46037/
[rospy.registration][INFO] 2025-04-11 14:30:55,996: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-11 14:30:55,996: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-11 14:30:56,095: registered with master
[rospy.rosout][INFO] 2025-04-11 14:30:56,095: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-11 14:30:56,097: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-11 14:30:56,098: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-11 14:30:56,100: Sonar processor initialized
[rospy.internal][INFO] 2025-04-11 14:30:56,110: topic[/RosAria/sonar] adding connection to [http://localhost:32877/], count 0
[rosout][INFO] 2025-04-11 14:30:56,171: Back Left Min: 0.85, Back Right Min: 0.78
[rospy.internal][INFO] 2025-04-11 14:30:56,242: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-04-11 14:30:56,273: Back Left Min: 0.85, Back Right Min: 0.78
[rospy.internal][INFO] 2025-04-11 14:30:56,334: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-11 14:30:56,376: Back Left Min: 0.85, Back Right Min: 0.78
[rosout][INFO] 2025-04-11 14:30:56,473: Back Left Min: 0.85, Back Right Min: 0.78
[rosout][INFO] 2025-04-11 14:30:56,576: Back Left Min: 0.85, Back Right Min: 0.78
[rosout][INFO] 2025-04-11 14:30:56,673: Back Left Min: 0.85, Back Right Min: 0.77
[rosout][INFO] 2025-04-11 14:30:56,776: Back Left Min: 0.85, Back Right Min: 0.77
[rosout][INFO] 2025-04-11 14:30:56,873: Back Left Min: 0.85, Back Right Min: 0.77
[rosout][INFO] 2025-04-11 14:30:56,976: Back Left Min: 0.85, Back Right Min: 0.78
[rosout][INFO] 2025-04-11 14:30:57,073: Back Left Min: 0.85, Back Right Min: 0.78
[rosout][INFO] 2025-04-11 14:30:57,176: Back Left Min: 0.85, Back Right Min: 0.78
[rosout][INFO] 2025-04-11 14:30:57,273: Back Left Min: 0.85, Back Right Min: 0.78
