[rospy.client][INFO] 2025-04-03 14:46:35,801: init_node, name[/sonar_processor_7960_1743666395779], pid[7960]
[xmlrpc][INFO] 2025-04-03 14:46:35,802: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-03 14:46:35,802: Started XML-RPC server [http://localhost:39043/]
[rospy.init][INFO] 2025-04-03 14:46:35,802: ROS Slave URI: [http://localhost:39043/]
[rospy.impl.masterslave][INFO] 2025-04-03 14:46:35,802: _ready: http://localhost:39043/
[rospy.registration][INFO] 2025-04-03 14:46:35,803: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-03 14:46:35,803: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-03 14:46:35,903: registered with master
[rospy.rosout][INFO] 2025-04-03 14:46:35,903: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-03 14:46:35,905: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-03 14:46:35,906: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-03 14:46:35,910: Sonar processor initialized
[rospy.internal][INFO] 2025-04-03 14:46:35,918: topic[/RosAria/sonar] adding connection to [http://localhost:42431/], count 0
[rosout][INFO] 2025-04-03 14:46:35,992: Back Left Min: 1.42, Back Right Min: 0.71
[rosout][INFO] 2025-04-03 14:46:36,097: Back Left Min: 1.42, Back Right Min: 0.71
[rospy.internal][INFO] 2025-04-03 14:46:36,104: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rospy.internal][INFO] 2025-04-03 14:46:36,181: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-03 14:46:36,194: Back Left Min: 1.42, Back Right Min: 0.71
[rosout][INFO] 2025-04-03 14:46:36,298: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:36,395: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:36,498: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:36,595: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:36,698: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:36,795: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:36,898: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:36,995: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,098: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,195: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,298: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,395: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,498: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,595: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,699: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,795: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,898: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:37,997: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,099: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,195: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,299: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,395: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,499: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,596: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,699: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,796: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,899: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:38,996: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,099: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,196: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,299: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,396: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,499: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,596: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,699: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,796: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,899: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:39,996: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,100: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,196: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,300: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,396: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,500: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,597: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,700: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,797: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,900: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:40,997: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,100: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,197: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,300: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,397: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,500: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,597: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,700: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,797: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,900: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:41,997: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,100: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,197: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,300: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,397: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,501: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,597: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,701: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,798: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,901: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:42,998: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:43,101: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:43,198: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:43,301: Back Left Min: 1.42, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:46:43,398: Back Left Min: 1.42, Back Right Min: 0.61
