[rospy.client][INFO] 2025-04-11 14:17:11,038: init_node, name[/sonar_processor_9438_1744355831025], pid[9438]
[xmlrpc][INFO] 2025-04-11 14:17:11,039: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-11 14:17:11,039: Started XML-RPC server [http://localhost:33997/]
[rospy.init][INFO] 2025-04-11 14:17:11,039: ROS Slave URI: [http://localhost:33997/]
[rospy.impl.masterslave][INFO] 2025-04-11 14:17:11,039: _ready: http://localhost:33997/
[rospy.registration][INFO] 2025-04-11 14:17:11,040: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-11 14:17:11,040: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-11 14:17:11,139: registered with master
[rospy.rosout][INFO] 2025-04-11 14:17:11,140: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-11 14:17:11,146: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-11 14:17:11,149: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-11 14:17:11,162: Sonar processor initialized
[rospy.internal][INFO] 2025-04-11 14:17:11,206: topic[/RosAria/sonar] adding connection to [http://localhost:35503/], count 0
[rosout][INFO] 2025-04-11 14:17:11,281: Back Left Min: 1.05, Back Right Min: 0.75
[rospy.internal][INFO] 2025-04-11 14:17:11,312: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-04-11 14:17:11,384: Back Left Min: 1.05, Back Right Min: 0.75
[rospy.internal][INFO] 2025-04-11 14:17:11,397: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-11 14:17:11,480: Back Left Min: 1.05, Back Right Min: 0.92
[rosout][INFO] 2025-04-11 14:17:11,583: Back Left Min: 1.03, Back Right Min: 1.72
[rosout][INFO] 2025-04-11 14:17:11,681: Back Left Min: 1.03, Back Right Min: 1.72
[rosout][INFO] 2025-04-11 14:17:11,784: Back Left Min: 1.04, Back Right Min: 1.72
[rosout][INFO] 2025-04-11 14:17:11,880: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:11,983: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,079: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,183: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,280: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,383: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,480: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,583: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,680: Back Left Min: 1.05, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,783: Back Left Min: 1.05, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,880: Back Left Min: 1.05, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:12,983: Back Left Min: 1.05, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,080: Back Left Min: 1.05, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,183: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,280: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,383: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,480: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,584: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,680: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,783: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,880: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:13,984: Back Left Min: 1.04, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:14,080: Back Left Min: 1.05, Back Right Min: 1.73
[rosout][INFO] 2025-04-11 14:17:14,184: Back Left Min: 1.05, Back Right Min: 1.73
