[rospy.client][INFO] 2025-04-03 14:19:19,926: init_node, name[/sonar_processor_3037_1743664759914], pid[3037]
[xmlrpc][INFO] 2025-04-03 14:19:19,927: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-03 14:19:19,927: Started XML-RPC server [http://localhost:44775/]
[rospy.init][INFO] 2025-04-03 14:19:19,927: ROS Slave URI: [http://localhost:44775/]
[rospy.impl.masterslave][INFO] 2025-04-03 14:19:19,927: _ready: http://localhost:44775/
[rospy.registration][INFO] 2025-04-03 14:19:19,927: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-03 14:19:19,928: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-03 14:19:20,027: registered with master
[rospy.rosout][INFO] 2025-04-03 14:19:20,027: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-03 14:19:20,030: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-03 14:19:20,031: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-03 14:19:20,036: Sonar processor initialized
[rospy.internal][INFO] 2025-04-03 14:19:20,042: topic[/RosAria/sonar] adding connection to [http://localhost:42431/], count 0
[rosout][INFO] 2025-04-03 14:19:20,145: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 14:19:20,248: Back Left Min: 0.00, Back Right Min: 0.00
[rospy.internal][INFO] 2025-04-03 14:19:20,270: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-03 14:19:20,344: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 14:19:20,446: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:20,544: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:20,647: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:20,744: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:20,847: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:20,943: Back Left Min: 0.87, Back Right Min: 0.94
[rosout][INFO] 2025-04-03 14:19:21,046: Back Left Min: 0.87, Back Right Min: 0.94
[rosout][INFO] 2025-04-03 14:19:21,143: Back Left Min: 0.87, Back Right Min: 0.94
[rosout][INFO] 2025-04-03 14:19:21,246: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:21,343: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:21,446: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:21,543: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:21,646: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:21,743: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:21,846: Back Left Min: 0.87, Back Right Min: 0.94
[rosout][INFO] 2025-04-03 14:19:21,942: Back Left Min: 0.87, Back Right Min: 0.94
[rosout][INFO] 2025-04-03 14:19:22,045: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:22,142: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:22,245: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:22,342: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:22,445: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:22,542: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:22,645: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:22,742: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:22,845: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:22,941: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,044: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,141: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,244: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,341: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,444: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,541: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,644: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,741: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,844: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:23,941: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:24,044: Back Left Min: 0.87, Back Right Min: 0.94
[rosout][INFO] 2025-04-03 14:19:24,141: Back Left Min: 0.87, Back Right Min: 0.94
[rosout][INFO] 2025-04-03 14:19:24,244: Back Left Min: 0.87, Back Right Min: 0.94
[rosout][INFO] 2025-04-03 14:19:24,340: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:24,443: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:24,540: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:24,643: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:24,740: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:24,843: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:24,940: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:25,043: Back Left Min: 0.87, Back Right Min: 0.93
[rosout][INFO] 2025-04-03 14:19:25,140: Back Left Min: 0.87, Back Right Min: 0.93
