[rospy.client][INFO] 2025-03-27 13:47:41,342: init_node, name[/sonar_processor_4027_1743058061330], pid[4027]
[xmlrpc][INFO] 2025-03-27 13:47:41,342: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 13:47:41,342: Started XML-RPC server [http://localhost:42181/]
[rospy.init][INFO] 2025-03-27 13:47:41,342: ROS Slave URI: [http://localhost:42181/]
[rospy.impl.masterslave][INFO] 2025-03-27 13:47:41,342: _ready: http://localhost:42181/
[rospy.registration][INFO] 2025-03-27 13:47:41,343: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 13:47:41,343: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 13:47:41,443: registered with master
[rospy.rosout][INFO] 2025-03-27 13:47:41,443: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 13:47:41,449: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 13:47:41,452: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 13:47:41,465: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 13:47:41,510: topic[/RosAria/sonar] adding connection to [http://localhost:37299/], count 0
[rosout][INFO] 2025-03-27 13:47:41,602: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-03-27 13:47:41,702: Back Left Min: 0.00, Back Right Min: 0.00
[rospy.internal][INFO] 2025-03-27 13:47:41,716: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 13:47:41,805: Back Left Min: 0.76, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:41,902: Back Left Min: 0.76, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,006: Back Left Min: 0.76, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,102: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,206: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,303: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,406: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,503: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,606: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,703: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,806: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:42,903: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,006: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,103: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,207: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,303: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,406: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,503: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,606: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,703: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,806: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:43,903: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,006: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,103: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,206: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,303: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,407: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,504: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,607: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,704: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,807: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:44,904: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,007: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,104: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,207: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,304: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,407: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,504: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,607: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,704: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,807: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:45,904: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,007: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,104: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,207: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,304: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,407: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,504: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,607: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,705: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,808: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:46,904: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,008: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,105: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,208: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,305: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,408: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,505: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,608: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,705: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,808: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:47,905: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,008: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,105: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,208: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,305: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,408: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,505: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,608: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,705: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,808: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:48,905: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,008: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,105: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,209: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,305: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,409: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,505: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,609: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,706: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,809: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:49,906: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,009: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,106: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,209: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,306: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,409: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,506: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,609: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,706: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,809: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:50,906: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,009: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,106: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,209: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,306: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,409: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,506: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,610: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,706: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,810: Back Left Min: 2.05, Back Right Min: 0.80
[rosout][INFO] 2025-03-27 13:47:51,907: Back Left Min: 2.05, Back Right Min: 0.80
