[rospy.client][INFO] 2025-03-27 15:20:37,996: init_node, name[/sonar_processor_30830_1743063637984], pid[30830]
[xmlrpc][INFO] 2025-03-27 15:20:37,996: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 15:20:37,996: Started XML-RPC server [http://localhost:33325/]
[rospy.init][INFO] 2025-03-27 15:20:37,997: ROS Slave URI: [http://localhost:33325/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:20:37,997: _ready: http://localhost:33325/
[rospy.registration][INFO] 2025-03-27 15:20:37,997: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:20:37,997: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:20:38,097: registered with master
[rospy.rosout][INFO] 2025-03-27 15:20:38,097: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:20:38,103: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 15:20:38,106: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 15:20:38,121: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 15:20:38,164: topic[/RosAria/sonar] adding connection to [http://localhost:40669/], count 0
[rosout][INFO] 2025-03-27 15:20:38,222: Back Left Min: 1.17, Back Right Min: 0.85
[rosout][INFO] 2025-03-27 15:20:38,325: Back Left Min: 1.17, Back Right Min: 0.85
[rospy.internal][INFO] 2025-03-27 15:20:38,332: topic[/sonar_min] adding connection to [/rostopic_14070_1743062901856], count 0
[rospy.internal][INFO] 2025-03-27 15:20:38,393: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 15:20:38,422: Back Left Min: 1.17, Back Right Min: 0.85
[rosout][INFO] 2025-03-27 15:20:38,525: Back Left Min: 0.93, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:20:38,622: Back Left Min: 0.93, Back Right Min: 0.82
[rosout][INFO] 2025-03-27 15:20:38,724: Back Left Min: 0.93, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:20:38,821: Back Left Min: 0.96, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:20:38,924: Back Left Min: 0.96, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:20:39,021: Back Left Min: 0.96, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:20:39,124: Back Left Min: 0.96, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:20:39,221: Back Left Min: 0.96, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:20:39,324: Back Left Min: 0.95, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:20:39,421: Back Left Min: 0.95, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:20:39,524: Back Left Min: 0.95, Back Right Min: 0.81
[rosout][INFO] 2025-03-27 15:20:39,621: Back Left Min: 0.96, Back Right Min: 0.82
