[rospy.client][INFO] 2025-04-03 14:34:39,196: init_node, name[/sonar_processor_23385_1743665679180], pid[23385]
[xmlrpc][INFO] 2025-04-03 14:34:39,196: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-03 14:34:39,196: Started XML-RPC server [http://localhost:34859/]
[rospy.init][INFO] 2025-04-03 14:34:39,197: ROS Slave URI: [http://localhost:34859/]
[rospy.impl.masterslave][INFO] 2025-04-03 14:34:39,197: _ready: http://localhost:34859/
[rospy.registration][INFO] 2025-04-03 14:34:39,197: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-03 14:34:39,197: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-03 14:34:39,297: registered with master
[rospy.rosout][INFO] 2025-04-03 14:34:39,297: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-03 14:34:39,299: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-03 14:34:39,300: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-03 14:34:39,303: Sonar processor initialized
[rospy.internal][INFO] 2025-04-03 14:34:39,312: topic[/RosAria/sonar] adding connection to [http://localhost:42431/], count 0
[rosout][INFO] 2025-04-03 14:34:39,353: Back Left Min: 0.60, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:39,455: Back Left Min: 0.60, Back Right Min: 0.60
[rospy.internal][INFO] 2025-04-03 14:34:39,472: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rospy.internal][INFO] 2025-04-03 14:34:39,532: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-03 14:34:39,558: Back Left Min: 0.60, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:39,655: Back Left Min: 1.35, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:39,758: Back Left Min: 1.35, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:39,855: Back Left Min: 1.35, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:39,958: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:40,055: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:40,158: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:40,255: Back Left Min: 1.36, Back Right Min: 0.59
[rosout][INFO] 2025-04-03 14:34:40,358: Back Left Min: 1.36, Back Right Min: 0.59
[rosout][INFO] 2025-04-03 14:34:40,455: Back Left Min: 1.36, Back Right Min: 0.59
[rosout][INFO] 2025-04-03 14:34:40,558: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:40,655: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:40,758: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:40,855: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:40,958: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,055: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,158: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,255: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,358: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,455: Back Left Min: 1.36, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,558: Back Left Min: 1.35, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,655: Back Left Min: 1.35, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,758: Back Left Min: 1.35, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,855: Back Left Min: 1.35, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:41,958: Back Left Min: 1.35, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:34:42,055: Back Left Min: 1.35, Back Right Min: 0.60
