[rospy.client][INFO] 2025-04-03 14:04:02,099: init_node, name[/sonar_processor_5591_1743663842088], pid[5591]
[xmlrpc][INFO] 2025-04-03 14:04:02,100: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-03 14:04:02,100: Started XML-RPC server [http://localhost:32773/]
[rospy.init][INFO] 2025-04-03 14:04:02,100: ROS Slave URI: [http://localhost:32773/]
[rospy.impl.masterslave][INFO] 2025-04-03 14:04:02,100: _ready: http://localhost:32773/
[rospy.registration][INFO] 2025-04-03 14:04:02,101: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-03 14:04:02,101: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-03 14:04:02,200: registered with master
[rospy.rosout][INFO] 2025-04-03 14:04:02,201: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-03 14:04:02,207: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-03 14:04:02,210: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-03 14:04:02,223: Sonar processor initialized
[rospy.internal][INFO] 2025-04-03 14:04:02,267: topic[/RosAria/sonar] adding connection to [http://localhost:44827/], count 0
[rosout][INFO] 2025-04-03 14:04:02,320: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 14:04:02,420: Back Left Min: 0.00, Back Right Min: 0.00
[rospy.internal][INFO] 2025-04-03 14:04:02,505: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-03 14:04:02,523: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-03 14:04:02,620: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:02,723: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:02,820: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:02,924: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,021: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,124: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,221: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,324: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,421: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,524: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,621: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,725: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,820: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:03,925: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,021: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,125: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,222: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,325: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,422: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,525: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,622: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,725: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,822: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:04,925: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,022: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,126: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,223: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,326: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,423: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,526: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,623: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,726: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,823: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:05,926: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,023: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,126: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,223: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,326: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,423: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,526: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,623: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,726: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,823: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:06,926: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,023: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,126: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,223: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,326: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,423: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,526: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,623: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,726: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,823: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:07,926: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,023: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,126: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,223: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,326: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,423: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,525: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,623: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,726: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,823: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:08,925: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:09,023: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:09,127: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:09,223: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:09,326: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:09,422: Back Left Min: 0.68, Back Right Min: 0.61
[rosout][INFO] 2025-04-03 14:04:09,526: Back Left Min: 0.68, Back Right Min: 0.61
