[rospy.client][INFO] 2025-04-03 14:43:39,110: init_node, name[/sonar_processor_3455_1743666219089], pid[3455]
[xmlrpc][INFO] 2025-04-03 14:43:39,111: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-03 14:43:39,111: Started XML-RPC server [http://localhost:42293/]
[rospy.init][INFO] 2025-04-03 14:43:39,111: ROS Slave URI: [http://localhost:42293/]
[rospy.impl.masterslave][INFO] 2025-04-03 14:43:39,111: _ready: http://localhost:42293/
[rospy.registration][INFO] 2025-04-03 14:43:39,112: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-03 14:43:39,112: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-03 14:43:39,212: registered with master
[rospy.rosout][INFO] 2025-04-03 14:43:39,212: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-03 14:43:39,213: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-03 14:43:39,214: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-03 14:43:39,218: Sonar processor initialized
[rospy.internal][INFO] 2025-04-03 14:43:39,226: topic[/RosAria/sonar] adding connection to [http://localhost:42431/], count 0
[rosout][INFO] 2025-04-03 14:43:39,279: Back Left Min: 1.40, Back Right Min: 0.60
[rospy.internal][INFO] 2025-04-03 14:43:39,338: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-04-03 14:43:39,387: Back Left Min: 1.40, Back Right Min: 2.37
[rospy.internal][INFO] 2025-04-03 14:43:39,397: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-03 14:43:39,484: Back Left Min: 1.40, Back Right Min: 2.37
[rosout][INFO] 2025-04-03 14:43:39,587: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:39,684: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:39,787: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:39,884: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:39,987: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,084: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,187: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,284: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,387: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,484: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,587: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,684: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,787: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,884: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:40,987: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,084: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,187: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,284: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,387: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,484: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,588: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,684: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,787: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,884: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:41,988: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:42,084: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:42,188: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:42,284: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:42,388: Back Left Min: 1.40, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:43:42,485: Back Left Min: 1.40, Back Right Min: 0.60
