[rospy.client][INFO] 2025-03-27 14:31:43,816: init_node, name[/sonar_processor_5362_1743060703804], pid[5362]
[xmlrpc][INFO] 2025-03-27 14:31:43,817: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 14:31:43,817: Started XML-RPC server [http://localhost:42803/]
[rospy.init][INFO] 2025-03-27 14:31:43,817: ROS Slave URI: [http://localhost:42803/]
[rospy.impl.masterslave][INFO] 2025-03-27 14:31:43,817: _ready: http://localhost:42803/
[rospy.registration][INFO] 2025-03-27 14:31:43,817: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 14:31:43,817: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 14:31:43,917: registered with master
[rospy.rosout][INFO] 2025-03-27 14:31:43,918: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 14:31:43,924: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 14:31:43,927: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 14:31:43,940: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 14:31:43,985: topic[/RosAria/sonar] adding connection to [http://localhost:37299/], count 0
[rosout][INFO] 2025-03-27 14:31:44,034: Back Left Min: 1.17, Back Right Min: 1.27
[rospy.internal][INFO] 2025-03-27 14:31:44,132: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 14:31:44,134: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:44,235: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:44,332: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:44,435: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:44,532: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:44,635: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:44,732: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:44,835: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:44,932: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,035: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,132: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,236: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,332: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,436: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,532: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,636: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,733: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,836: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:45,933: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:46,036: Back Left Min: 1.17, Back Right Min: 1.26
[rosout][INFO] 2025-03-27 14:31:46,133: Back Left Min: 1.17, Back Right Min: 1.26
[rosout][INFO] 2025-03-27 14:31:46,236: Back Left Min: 1.17, Back Right Min: 1.26
[rosout][INFO] 2025-03-27 14:31:46,333: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:46,436: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:46,533: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:46,636: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:46,733: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:46,836: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:46,932: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:47,036: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:47,133: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:47,236: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:47,333: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:47,436: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:47,533: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:47,637: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:47,733: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:47,837: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:47,934: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:48,037: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:48,134: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:48,237: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:48,334: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:48,437: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:48,534: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:48,637: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:48,734: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:48,837: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:48,934: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:49,037: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:49,134: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:49,237: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:49,334: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:49,437: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:49,534: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:49,637: Back Left Min: 1.17, Back Right Min: 1.29
[rosout][INFO] 2025-03-27 14:31:49,734: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:49,837: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:49,934: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:50,038: Back Left Min: 1.17, Back Right Min: 1.32
[rosout][INFO] 2025-03-27 14:31:50,135: Back Left Min: 1.17, Back Right Min: 1.32
[rosout][INFO] 2025-03-27 14:31:50,238: Back Left Min: 1.17, Back Right Min: 1.31
[rosout][INFO] 2025-03-27 14:31:50,335: Back Left Min: 1.17, Back Right Min: 1.31
[rosout][INFO] 2025-03-27 14:31:50,438: Back Left Min: 1.17, Back Right Min: 1.31
[rosout][INFO] 2025-03-27 14:31:50,535: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:50,638: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:50,735: Back Left Min: 1.17, Back Right Min: 1.30
[rosout][INFO] 2025-03-27 14:31:50,838: Back Left Min: 1.17, Back Right Min: 1.31
[rosout][INFO] 2025-03-27 14:31:50,935: Back Left Min: 1.17, Back Right Min: 1.31
[rosout][INFO] 2025-03-27 14:31:51,038: Back Left Min: 1.17, Back Right Min: 1.31
[rosout][INFO] 2025-03-27 14:31:51,135: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:51,238: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:51,335: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:51,438: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:51,535: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:51,638: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:51,735: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:51,838: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:51,935: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,038: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,135: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,238: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,335: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,438: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,535: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,638: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,735: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,839: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:52,936: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:53,039: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:53,136: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:53,239: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:53,336: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:53,439: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:53,536: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:53,639: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:53,736: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:53,839: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:53,936: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:54,039: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:54,136: Back Left Min: 1.17, Back Right Min: 1.27
[rosout][INFO] 2025-03-27 14:31:54,239: Back Left Min: 1.17, Back Right Min: 1.28
[rosout][INFO] 2025-03-27 14:31:54,336: Back Left Min: 1.17, Back Right Min: 1.28
