[rospy.client][INFO] 2025-04-03 14:49:48,739: init_node, name[/sonar_processor_12380_1743666588714], pid[12380]
[xmlrpc][INFO] 2025-04-03 14:49:48,740: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-03 14:49:48,740: Started XML-RPC server [http://localhost:43037/]
[rospy.impl.masterslave][INFO] 2025-04-03 14:49:48,740: _ready: http://localhost:43037/
[rospy.init][INFO] 2025-04-03 14:49:48,740: ROS Slave URI: [http://localhost:43037/]
[rospy.registration][INFO] 2025-04-03 14:49:48,741: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-03 14:49:48,742: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-03 14:49:48,842: registered with master
[rospy.rosout][INFO] 2025-04-03 14:49:48,842: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-03 14:49:48,845: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-03 14:49:48,847: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-03 14:49:48,853: Sonar processor initialized
[rospy.internal][INFO] 2025-04-03 14:49:48,856: topic[/RosAria/sonar] adding connection to [http://localhost:42431/], count 0
[rosout][INFO] 2025-04-03 14:49:48,874: Back Left Min: 0.69, Back Right Min: 0.54
[rospy.internal][INFO] 2025-04-03 14:49:48,972: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rosout][INFO] 2025-04-03 14:49:48,982: Back Left Min: 0.89, Back Right Min: 0.60
[rospy.internal][INFO] 2025-04-03 14:49:49,066: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-03 14:49:49,079: Back Left Min: 0.89, Back Right Min: 0.60
[rosout][INFO] 2025-04-03 14:49:49,182: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:49,279: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:49,382: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:49,479: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:49,582: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:49,679: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:49,782: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:49,879: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:49,983: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,079: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,183: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,279: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,383: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,479: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,583: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,680: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,783: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,880: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:50,983: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:51,080: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:51,183: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:51,280: Back Left Min: 0.69, Back Right Min: 0.54
[rosout][INFO] 2025-04-03 14:49:51,383: Back Left Min: 0.69, Back Right Min: 0.54
