[rospy.client][INFO] 2025-04-11 13:50:13,428: init_node, name[/sonar_processor_4455_1744354213416], pid[4455]
[xmlrpc][INFO] 2025-04-11 13:50:13,428: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-04-11 13:50:13,428: Started XML-RPC server [http://localhost:45027/]
[rospy.init][INFO] 2025-04-11 13:50:13,428: ROS Slave URI: [http://localhost:45027/]
[rospy.impl.masterslave][INFO] 2025-04-11 13:50:13,428: _ready: http://localhost:45027/
[rospy.registration][INFO] 2025-04-11 13:50:13,429: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-04-11 13:50:13,429: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-04-11 13:50:13,528: registered with master
[rospy.rosout][INFO] 2025-04-11 13:50:13,529: initializing /rosout core topic
[rospy.rosout][INFO] 2025-04-11 13:50:13,530: connected to core topic /rosout
[rospy.simtime][INFO] 2025-04-11 13:50:13,530: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-04-11 13:50:13,533: Sonar processor initialized
[rospy.internal][INFO] 2025-04-11 13:50:13,543: topic[/RosAria/sonar] adding connection to [http://localhost:45625/], count 0
[rosout][INFO] 2025-04-11 13:50:13,593: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-11 13:50:13,695: Back Left Min: 0.00, Back Right Min: 0.00
[rospy.internal][INFO] 2025-04-11 13:50:13,715: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rospy.internal][INFO] 2025-04-11 13:50:13,788: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-04-11 13:50:13,798: Back Left Min: 0.00, Back Right Min: 0.00
[rosout][INFO] 2025-04-11 13:50:13,895: Back Left Min: 0.92, Back Right Min: 0.68
[rosout][INFO] 2025-04-11 13:50:13,998: Back Left Min: 0.92, Back Right Min: 0.68
[rosout][INFO] 2025-04-11 13:50:14,095: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:14,198: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:14,295: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:14,398: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:14,495: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:14,599: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:14,695: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:14,799: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:14,896: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:14,998: Back Left Min: 0.92, Back Right Min: 0.69
[rosout][INFO] 2025-04-11 13:50:15,095: Back Left Min: 0.92, Back Right Min: 0.69
