[rospy.client][INFO] 2025-03-27 15:21:41,224: init_node, name[/sonar_processor_32646_1743063701211], pid[32646]
[xmlrpc][INFO] 2025-03-27 15:21:41,224: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 15:21:41,224: Started XML-RPC server [http://localhost:35323/]
[rospy.init][INFO] 2025-03-27 15:21:41,224: ROS Slave URI: [http://localhost:35323/]
[rospy.impl.masterslave][INFO] 2025-03-27 15:21:41,224: _ready: http://localhost:35323/
[rospy.registration][INFO] 2025-03-27 15:21:41,225: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 15:21:41,225: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 15:21:41,325: registered with master
[rospy.rosout][INFO] 2025-03-27 15:21:41,325: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 15:21:41,330: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 15:21:41,333: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 15:21:41,346: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 15:21:41,391: topic[/RosAria/sonar] adding connection to [http://localhost:40669/], count 0
[rosout][INFO] 2025-03-27 15:21:41,446: Back Left Min: 0.96, Back Right Min: 0.84
[rospy.internal][INFO] 2025-03-27 15:21:41,542: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 15:21:41,551: Back Left Min: 1.17, Back Right Min: 0.84
[rospy.internal][INFO] 2025-03-27 15:21:41,570: topic[/sonar_min] adding connection to [/controller_joystick], count 0
[rospy.internal][INFO] 2025-03-27 15:21:41,601: topic[/sonar_min] adding connection to [/rostopic_14070_1743062901856], count 1
[rosout][INFO] 2025-03-27 15:21:41,647: Back Left Min: 1.17, Back Right Min: 0.84
[rosout][INFO] 2025-03-27 15:21:41,751: Back Left Min: 0.96, Back Right Min: 0.78
[rosout][INFO] 2025-03-27 15:21:41,848: Back Left Min: 0.96, Back Right Min: 0.78
[rosout][INFO] 2025-03-27 15:21:41,952: Back Left Min: 0.96, Back Right Min: 0.78
[rosout][INFO] 2025-03-27 15:21:42,047: Back Left Min: 1.01, Back Right Min: 0.78
[rosout][INFO] 2025-03-27 15:21:42,151: Back Left Min: 1.01, Back Right Min: 0.78
[rosout][INFO] 2025-03-27 15:21:42,247: Back Left Min: 1.01, Back Right Min: 0.78
[rosout][INFO] 2025-03-27 15:21:42,350: Back Left Min: 1.00, Back Right Min: 0.77
