[rospy.client][INFO] 2025-03-27 14:08:35,027: init_node, name[/sonar_processor_4724_1743059315015], pid[4724]
[xmlrpc][INFO] 2025-03-27 14:08:35,027: XML-RPC server binding to 127.0.0.1:0
[xmlrpc][INFO] 2025-03-27 14:08:35,027: Started XML-RPC server [http://localhost:36423/]
[rospy.init][INFO] 2025-03-27 14:08:35,028: ROS Slave URI: [http://localhost:36423/]
[rospy.impl.masterslave][INFO] 2025-03-27 14:08:35,028: _ready: http://localhost:36423/
[rospy.registration][INFO] 2025-03-27 14:08:35,028: Registering with master node http://localhost:11311
[xmlrpc][INFO] 2025-03-27 14:08:35,028: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2025-03-27 14:08:35,128: registered with master
[rospy.rosout][INFO] 2025-03-27 14:08:35,128: initializing /rosout core topic
[rospy.rosout][INFO] 2025-03-27 14:08:35,134: connected to core topic /rosout
[rospy.simtime][INFO] 2025-03-27 14:08:35,137: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rosout][INFO] 2025-03-27 14:08:35,152: Sonar processor initialized
[rospy.internal][INFO] 2025-03-27 14:08:35,195: topic[/RosAria/sonar] adding connection to [http://localhost:37299/], count 0
[rosout][INFO] 2025-03-27 14:08:35,274: Back Left Min: 1.17, Back Right Min: 1.35
[rospy.internal][INFO] 2025-03-27 14:08:35,349: topic[/rosout] adding connection to [/rosout], count 0
[rosout][INFO] 2025-03-27 14:08:35,374: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:35,478: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:35,574: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:35,678: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:35,775: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:35,878: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:35,975: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,078: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,175: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,278: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,375: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,478: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,575: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,678: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,775: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,878: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:36,975: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,078: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,175: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,278: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,375: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,478: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,575: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,679: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,775: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,879: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:37,976: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,079: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,176: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,279: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,376: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,479: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,576: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,679: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,776: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,879: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:38,976: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,079: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,176: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,279: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,376: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,479: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,576: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,679: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,776: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,879: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:39,976: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,080: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,177: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,280: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,377: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,480: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,577: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,680: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,777: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,880: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:40,977: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,080: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,177: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,280: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,377: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,480: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,577: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,680: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,777: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,880: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:41,977: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,080: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,177: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,280: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,377: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,480: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,577: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,680: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,777: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,881: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:42,977: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,081: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,178: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,281: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,378: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,481: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,578: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,681: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,778: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,881: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:43,978: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,081: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,178: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,281: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,378: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,481: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,578: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,681: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,778: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,881: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:44,978: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,082: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,178: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,282: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,378: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,482: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,579: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,682: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,779: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,881: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:45,979: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,082: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,179: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,282: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,379: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,482: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,579: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,682: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,779: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,882: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:46,979: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,082: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,179: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,282: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,379: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,483: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,579: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,683: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,779: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,883: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:47,980: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,083: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,180: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,283: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,380: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,483: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,580: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,683: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,780: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,883: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:48,980: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,083: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,180: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,283: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,380: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,483: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,580: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,683: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,780: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,883: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:49,980: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,084: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,180: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,284: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,381: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,484: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,581: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,684: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,781: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,884: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:50,981: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,084: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,181: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,284: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,381: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,484: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,581: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,684: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,781: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,884: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:51,981: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,084: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,181: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,284: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,382: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,485: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,581: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,685: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,782: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,885: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:52,982: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,085: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,182: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,285: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,382: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,485: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,582: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,685: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,782: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,885: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:53,982: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,085: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,182: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,285: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,382: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,485: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,582: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,685: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,782: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,886: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:54,983: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,086: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,182: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,286: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,383: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,486: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,583: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,686: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,783: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,886: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:55,983: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,086: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,183: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,286: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,383: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,486: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,583: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,686: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,783: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,886: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:56,983: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:57,086: Back Left Min: 1.17, Back Right Min: 1.35
[rosout][INFO] 2025-03-27 14:08:57,183: Back Left Min: 1.17, Back Right Min: 1.35
