Marker,Master Time
15,1.003727912902832
25,6.004024028778076
35,33.809356927871704
12,41.81297302246094
22,46.81315588951111
32,55.92441987991333
15,62.927571058273315
25,67.92775797843933
35,86.89329290390015
16,94.89626002311707
26,99.89642190933228
36,116.66874599456787
12,122.67244696617126
22,127.67258191108704
32,147.388365983963
15,154.39236402511597
25,159.3925769329071
35,173.55308294296265
16,179.5561580657959
26,184.55631804466248
36,205.9283308982849
14,213.93161988258362
24,218.93182396888733
44,278.93196392059326
14,286.93722105026245
24,291.93755292892456
34,311.6664168834686
15,317.670254945755
25,322.670480966568
35,346.99513006210327
13,354.9986879825592
23,359.998822927475
33,372.01708006858826
