%time,field.data
1630556525780486236,15
1630556530783330901,25
1630556622341072485,35
1630556635342136661,16
1630556640344328399,26
1630556664111477619,36
1630556676113422042,12
1630556681115237113,22
1630556711722865530,32
1630556722724306875,16
1630556727725722776,26
1630556763172987049,36
1630556775174268046,15
1630556780176360500,25
1630556806066519591,35
