Marker,Master Time
11,1.0171611309051514
21,6.017276048660278
31,31.794137954711914
12,37.79631495475769
22,42.79645299911499
32,65.28291893005371
15,72.28545713424683
25,77.28557109832764
35,89.79434299468994
12,96.79786109924316
22,101.79805612564087
32,117.38318610191345
16,123.38581013679504
26,128.385910987854
36,156.00875115394592
12,163.0119650363922
22,168.01209211349487
32,200.4573049545288
14,207.4605700969696
24,212.46067714691162
34,249.0616979598999
13,255.064768075943
23,260.0648760795593
33,286.85367703437805
15,292.85650992393494
25,297.8566529750824
35,310.37159609794617
11,316.3741829395294
21,321.3742821216583
31,336.91602301597595
