%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1635397544025106769,0,1635397432766718305,map,0.012765523603,-0.00185758867047,0.0,0.0,0.0,8.56034512309e-05,0.999999996336,0.247065304157,0.0019165315976,0.0,0.0,0.0,0.0,0.0019165315976,0.246002731312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684890580915
1635397596960885192,1,1635397596845740305,map,0.0323487012734,0.04850596521,0.0,0.0,0.0,0.0041347058628,0.999991452067,0.129034095479,0.010676725389,0.0,0.0,0.0,0.0,0.010676725389,0.216106669288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621530914096
1635397597162076793,2,1635397597095031305,map,0.0471669863037,0.0973046373034,0.0,0.0,0.0,0.00151148795936,0.999998857701,0.087447737297,0.0165060124274,0.0,0.0,0.0,0.0,0.0165060124274,0.206086842878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0510347760402
1635397597461179919,3,1635397597344351305,map,0.0131598297804,0.13621627219,0.0,0.0,0.0,-0.0277488962265,0.999614925238,0.0665008292637,0.0230489344638,0.0,0.0,0.0,0.0,0.0230489344638,0.210235317789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0427051728055
1635397597858526757,4,1635397597743271305,map,-0.00892650909949,0.142472639521,0.0,0.0,0.0,-0.141641016059,0.989918088818,0.0569185994761,0.0266896775426,0.0,0.0,0.0,0.0,0.0266896775426,0.200530618929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0349192249564
1635397598159859147,5,1635397598042447305,map,-0.0557550467675,0.155818248257,0.0,0.0,0.0,-0.23061717323,0.973044561884,0.0514413757693,0.0271817325352,0.0,0.0,0.0,0.0,0.0271817325352,0.187728086136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283609834097
1635397598571078612,6,1635397598441341305,map,-0.0950214242418,0.12750297741,0.0,0.0,0.0,-0.351939908448,0.936022596331,0.0469349900323,0.0285667646524,0.0,0.0,0.0,0.0,0.0285667646524,0.166840469717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0239530688446
1635397598968989433,7,1635397598840281305,map,-0.167651512954,0.0751568064167,0.0,0.0,0.0,-0.47095640833,0.882156483541,0.032749187667,0.0218062246974,0.0,0.0,0.0,0.0,0.0218062246974,0.118478754205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150435429149
1635397599155739501,8,1635397599089632305,map,-0.198248557614,0.0110354506879,0.0,0.0,0.0,-0.540756120232,0.84117942107,0.0217344071232,0.0153497858407,0.0,0.0,0.0,0.0,0.0153497858407,0.088293811826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096515785159
1635397599353550372,9,1635397599289107305,map,-0.220881696889,-0.0598018133961,0.0,0.0,0.0,-0.578655483987,0.815572088078,0.0158832488645,0.00848834941563,0.0,0.0,0.0,0.0,0.00848834941563,0.0498723764481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00646922120935
1635397599548335088,10,1635397599438730305,map,-0.236917340765,-0.125479747323,0.0,0.0,0.0,-0.600636356666,0.799522336806,0.0103079816577,0.000869320804449,0.0,0.0,0.0,0.0,0.000869320804449,0.0219441725418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00346577353375
1635397599643648592,11,1635397599538428305,map,-0.242466452596,-0.160167872499,0.0,0.0,0.0,-0.61357373895,0.789637427476,0.00916816038768,-0.000178208545292,0.0,0.0,0.0,0.0,-0.000178208545292,0.0166430834104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028576258283
1635397599742879310,12,1635397599638150305,map,-0.247195407571,-0.195403105751,0.0,0.0,0.0,-0.626148523287,0.779703807087,0.00808966501598,-0.000486494165304,0.0,0.0,0.0,0.0,-0.000486494165304,0.0101969839828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250144590629
1635397599840954724,13,1635397599737913305,map,-0.252233560921,-0.228767988391,0.0,0.0,0.0,-0.636691319216,0.771118774272,0.00842626705458,-0.000925521919559,0.0,0.0,0.0,0.0,-0.000925521919559,0.00859787027819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00196081572654
1635397599940248931,14,1635397599837620305,map,-0.277575183572,-0.262158804066,0.0,0.0,0.0,-0.645912474988,0.763411471393,0.00677747947112,-0.00239367276476,0.0,0.0,0.0,0.0,-0.00239367276476,0.0049762382257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150654317817
1635397600039867910,15,1635397599937362305,map,-0.281150683704,-0.289691534496,0.0,0.0,0.0,-0.656094971274,0.754678334569,0.00720628565974,-0.00284046040877,0.0,0.0,0.0,0.0,-0.00284046040877,0.00435221961947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00142475375573
1635397600140132373,16,1635397600037041305,map,-0.28819950728,-0.317532668718,0.0,0.0,0.0,-0.668221032215,0.743962802904,0.00689653199317,-0.00240926236472,0.0,0.0,0.0,0.0,-0.00240926236472,0.003741555319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116457833091
1635397600240059779,17,1635397600136809305,map,-0.293682304111,-0.334542189174,0.0,0.0,0.0,-0.67717563599,0.735821417207,0.00565438425814,-0.00100458311391,0.0,0.0,0.0,0.0,-0.00100458311391,0.00245370584715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00066608697985
1635397600339811556,18,1635397600236539305,map,-0.294678141652,-0.364418096144,0.0,0.0,0.0,-0.685952306455,0.72764650296,0.00542179339591,-0.00131546307313,0.0,0.0,0.0,0.0,-0.00131546307313,0.00239271648275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000683368112953
1635397600439881436,19,1635397600336226305,map,-0.30704087346,-0.387941247335,0.0,0.0,0.0,-0.694715389876,0.71928473296,0.00519152580647,-0.00115346062997,0.0,0.0,0.0,0.0,-0.00115346062997,0.00223921626186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000649219309945
1635397600539804124,20,1635397600435961305,map,-0.309053020605,-0.404317103685,0.0,0.0,0.0,-0.702850607978,0.711337488725,0.00434872366533,-0.00026048961503,0.0,0.0,0.0,0.0,-0.00026048961503,0.001009817411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000416831529351
1635397600639572095,21,1635397600535724305,map,-0.312716346869,-0.432670502585,0.0,0.0,0.0,-0.71166427105,0.702519725923,0.0038751975997,-8.41618888662e-05,0.0,0.0,0.0,0.0,-8.41618888662e-05,0.00092729739512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000337244047391
1635397600739661795,22,1635397600635456305,map,-0.321882956235,-0.457929825093,0.0,0.0,0.0,-0.720103131219,0.693867048078,0.00362312168865,3.35903194345e-05,0.0,0.0,0.0,0.0,3.35903194345e-05,0.000913791304963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000361961508832
1635397600839730765,23,1635397600735221305,map,-0.332201370668,-0.491382714373,0.0,0.0,0.0,-0.729125632869,0.684379873676,0.00311680711982,7.54291423934e-05,0.0,0.0,0.0,0.0,7.54291423935e-05,0.000854867356242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000398566225821
1635397600939629802,24,1635397600834935305,map,-0.346036805839,-0.519977805337,0.0,0.0,0.0,-0.734872391682,0.678205402473,0.00317224896038,8.61577488548e-05,0.0,0.0,0.0,0.0,8.61577488548e-05,0.000547284762123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000394978833467
1635397601039569757,25,1635397600934733305,map,-0.350157437167,-0.550055960698,0.0,0.0,0.0,-0.739535225394,0.673117857735,0.0027890139182,-0.000138741356004,0.0,0.0,0.0,0.0,-0.000138741356004,0.000581097350783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000367536466123
1635397601139661560,26,1635397601034399305,map,-0.36360484701,-0.57628092272,0.0,0.0,0.0,-0.742526905219,0.669816239745,0.00251132885107,-0.000322340706301,0.0,0.0,0.0,0.0,-0.000322340706301,0.000682252241767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000358861015593
1635397601253897332,27,1635397601134127305,map,-0.264910173747,-0.452745339614,0.0,0.0,0.0,-0.73324812178,0.679961169411,0.2476585058,0.000359969461766,0.0,0.0,0.0,0.0,0.000359969461766,0.242900989274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0671656724325
1635397601355854391,28,1635397601184013305,map,-0.305126118075,-0.500130678862,0.0,0.0,0.0,-0.733651826028,0.679525568441,0.242789130545,0.00314380268692,0.0,0.0,0.0,0.0,0.00314380268692,0.24259989395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650658130277
1635397601387365845,29,1635397601233878305,map,-0.313061734149,-0.558017818215,0.0,0.0,0.0,-0.736686062961,0.676234903446,0.173273658427,0.00843673225132,0.0,0.0,0.0,0.0,0.00843673225132,0.197894880293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555666302881
1635397601455178126,30,1635397601333589305,map,-0.101638659119,-0.572653204571,0.0,0.0,0.0,-0.714500783519,0.699634640616,0.256332662335,0.000216167907168,0.0,0.0,0.0,0.0,0.000216167907168,0.253972347972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679479682192
1635397601486593681,31,1635397601383585305,map,-0.171512636516,-0.637527999136,0.0,0.0,0.0,-0.721922743294,0.691973664755,0.204639346278,0.00575840393329,0.0,0.0,0.0,0.0,0.00575840393329,0.212173593945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588115443179
1635397601585760991,32,1635397601483113305,map,-0.263176861458,-0.708974439917,0.0,0.0,0.0,-0.733569204304,0.679614760358,0.148967538564,0.0135014170102,0.0,0.0,0.0,0.0,0.0135014170102,0.161983398633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044543666159
1635397601682550155,33,1635397601582857305,map,-0.341829582778,-0.780744979428,0.0,0.0,0.0,-0.750400251297,0.660983708463,0.0913485131904,0.0128616442416,0.0,0.0,0.0,0.0,0.0128616442416,0.117256535262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267981392771
1635397601793498072,34,1635397601682587305,map,-0.389060055097,-0.831909788889,0.0,0.0,0.0,-0.768745578957,0.639554716059,0.0467099496001,0.00873905873849,0.0,0.0,0.0,0.0,0.00873905873849,0.0752403957449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131596627552
1635397601877942840,35,1635397601782298305,map,-0.423157275599,-0.871894550644,0.0,0.0,0.0,-0.783134192308,0.621852745301,0.024289869865,0.00392942850268,0.0,0.0,0.0,0.0,0.00392942850268,0.0442645842075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00478630195157
1635397601956325386,36,1635397601882046305,map,-0.432712675183,-0.896885332417,0.0,0.0,0.0,-0.792480787009,0.60989687835,0.0153461611386,0.00146821719545,0.0,0.0,0.0,0.0,0.00146821719545,0.0274214758783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00210121398435
