dot_pos_x,dot_pos_y,dot_time
-672.0,420.0,5.7112588882446289
0.0,420.0,7.7109057903289795
672.0,420.0,9.7114808559417725
-672.0,0.0,11.711196899414062
0.0,0.0,13.711177825927734
672.0,0.0,15.711193799972534
-672.0,-420.0,17.711372852325439
0.0,-420.0,19.711220979690552
672.0,-420.0,21.711448907852173
-420.0,262.0,23.711389780044556
0.0,262.0,25.71175479888916
420.0,262.0,27.711474895477295
-420.0,0.0,29.711621999740601
420.0,0.0,31.711732864379883
-420.0,-262.0,33.711658000946045
0.0,-262.0,35.711682796478271
420.0,-262.0,37.712044954299927
