Marker,Master Time
13,530.0403220653534
23,535.041069984436
43,655.0437309741974
15,2115.109797000885
25,2120.1174080371857
45,2240.1180942058563
15,268.02393102645874
25,273.02567315101624
45,393.03417015075684
11,1981.093668937683
21,1986.116975069046
41,2106.1181371212006
12,1058.067717075348
22,1063.0683999061584
42,1183.0695700645447
12,1319.0620369911194
22,1324.065097808838
42,1444.0661549568176
13,2505.103989839554
23,2510.105103969574
43,2630.1057629585266
15,2247.1068408489227
25,2252.107918024063
45,2372.109160900116
15,660.0651650428772
25,665.0725250244141
45,785.0737400054932
13,132.03668785095215
23,137.03791093826294
43,257.0384168624878
11,1453.1192400455475
21,1458.121006011963
41,1578.1217601299286
14,2.0165319442749023
24,7.0174500942230225
44,127.01810812950134
13,663.0498809814453
23,668.0507500171661
43,788.0551481246948
15,2246.124181985855
25,2251.12447309494
45,2371.1405951976776
15,399.03976607322693
25,404.0410499572754
45,524.0420050621033
11,2113.1245629787445
21,2118.125468969345
41,2238.1267590522766
12,1191.0800540447235
22,1196.0853400230408
42,1316.0930109024048
12,1452.0719618797302
22,1457.0728359222412
42,1577.0739529132843
13,2636.1100578308105
23,2641.1109569072723
43,2761.1122958660126
15,2378.13130903244
25,2383.132812023163
45,2503.1338188648224
15,791.0796051025391
25,796.0805971622467
45,916.0894730091095
13,263.0524249076843
23,268.0534198284149
43,388.05439496040344
11,1586.127967119217
21,1591.1297280788422
41,1711.1307971477509
14,133.0319061279297
24,138.03251814842224
44,258.03457593917847
13,796.0621981620789
23,801.0690829753876
43,921.0699861049652
15,2379.1473410129547
25,2384.1484780311584
45,2504.1495821475983
15,532.0694310665131
25,537.0705759525299
45,657.0714890956879
11,2245.1330580711365
21,2250.134467124939
41,2370.1355040073395
12,1323.1027901172638
22,1328.1041169166565
42,1448.1049990653992
12,1583.0796818733215
22,1588.0806949138641
42,1708.0822348594666
13,2768.1183009147644
23,2773.1191878318787
43,2893.120062828064
15,922.1269581317902
25,927.1281471252441
45,1047.1358602046967
15,2511.143457889557
25,2516.144371032715
45,2636.1490139961243
13,394.0601267814636
23,399.06104588508606
43,519.0619549751282
11,1717.1413440704346
21,1722.1434280872345
41,1842.1549019813538
14,264.0549659729004
24,269.05609607696533
44,389.056734085083
13,929.0780160427094
23,934.0789351463318
43,1054.079560995102
15,2512.1597380638123
25,2517.1605031490326
45,2637.160565137863
15,665.0776660442352
25,670.0785820484161
45,790.0786950588226
11,2378.1604239940643
21,2383.1614360809326
41,2503.1614961624146
12,1455.1112170219421
22,1460.113312959671
42,1580.1133539676666
12,1715.0895969867706
22,1720.0911848545074
42,1840.091295003891
13,2899.1419949531555
23,2904.143458843231
43,3024.14350605011
15,2642.1542358398438
25,2647.155038833618
45,2767.1550719738007
15,1055.1435010433197
25,1060.1445751190186
45,1180.1446361541748
13,525.0688807964325
23,530.069837808609
43,650.0698869228363
11,1850.1610379219055
21,1855.161698102951
41,1975.1617379188538
