dot_pos_x,dot_pos_y,dot_time
-672.0,420.0,5.6554141044616699
0.0,420.0,7.6551649570465088
672.0,420.0,9.655426025390625
-672.0,0.0,11.655159950256348
0.0,0.0,13.655517101287842
672.0,0.0,15.655504941940308
-672.0,-420.0,17.655640125274658
0.0,-420.0,19.655539989471436
672.0,-420.0,21.655768156051636
-420.0,262.0,23.655513048171997
0.0,262.0,25.65575909614563
420.0,262.0,27.655703067779541
-420.0,0.0,29.655811071395874
420.0,0.0,31.655761003494263
-420.0,-262.0,33.65575098991394
0.0,-262.0,35.655744075775146
420.0,-262.0,37.655945062637329
