%time,field.data
1716172286923210273,15
1716172291929451102,25
1716172563729470808,35
1716172574730287300,14
1716172579732655712,24
1716172649303108133,34
1716172660303792771,13
1716172665306245098,23
1716172676665426188,33
1716172689665732092,16
1716172694668525011,26
1716177602961035651,30
