dot_pos_x,dot_pos_y,dot_time
-672.0,420.0,5.644935131072998
0.0,420.0,8.6560730934143066
672.0,420.0,11.658128976821899
-672.0,0.0,14.660552024841309
0.0,0.0,17.663235187530518
672.0,0.0,20.66510009765625
-672.0,-420.0,23.667425155639648
0.0,-420.0,26.669834136962891
672.0,-420.0,29.672202110290527
-420.0,262.0,32.674575090408325
0.0,262.0,35.676918983459473
420.0,262.0,38.678992986679077
-420.0,0.0,41.681223154067993
420.0,0.0,44.68359112739563
-420.0,-262.0,47.685742139816284
0.0,-262.0,50.688376188278198
420.0,-262.0,53.690468072891235
